Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
64000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,20.940000534057617,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
68000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
72000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,27.8700008392334,28.0,21.0,21.0,28.0,21.0,21.0
76000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
80000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,20.940000534057617,28.0,21.0,21.0
84000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,27.8700008392334,21.0,21.0
88000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,27.780000686645508,21.0,21.0,28.0,28.0,21.0,21.0,27.8700008392334,21.0,21.0
92000,21.0,21.0,21.0,28.0,20.940000534057617,28.0,15.0,15.0,21.0,27.93000030517578,28.0,21.0,21.0,28.0,28.0,21.0,20.88999938964844,28.0,21.0,21.0
96000,21.0,21.0,21.0,28.0,21.0,27.780000686645508,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
100000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
104000,21.0,21.0,20.850000381469727,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
108000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
112000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,27.8700008392334,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
116000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
120000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
124000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
128000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
132000,21.0,21.0,20.940000534057617,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
136000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
140000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
144000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
148000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,20.850000381469727,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
