Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
44000,27.780000686645508,21.0,28.0,27.8700008392334,21.0,28.0,28.0,28.0,21.0,28.0,21.0,21.0,21.0,21.0,28.0,27.93000030517578,28.0,21.0,21.0,21.0
48000,28.0,21.0,28.0,27.8700008392334,21.0,27.93000030517578,28.0,28.0,20.88999938964844,28.0,21.0,21.0,21.0,20.940000534057617,27.8700008392334,27.86000061035156,28.0,21.0,21.0,21.0
52000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,21.0,21.0,20.850000381469727,28.0,28.0,28.0,21.0,21.0,20.88999938964844
56000,28.0,20.88999938964844,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,20.86000061035156,20.88999938964844,21.0,28.0,28.0,27.93000030517578,21.0,21.0,21.0
60000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,26.59000015258789,21.0,21.0,28.0,28.0,27.93000030517578,21.0,20.81999969482422,21.0
64000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,27.93000030517578,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
68000,28.0,21.0,28.0,28.0,21.0,28.0,27.93000030517578,28.0,21.0,28.0,20.940000534057617,27.8700008392334,21.0,21.0,28.0,28.0,27.780000686645508,21.0,21.0,21.0
72000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,28.0,21.0,21.0,28.0,28.0,28.0,20.850000381469727,21.0,21.0
76000,27.93000030517578,21.0,28.0,27.780000686645508,21.0,28.0,28.0,28.0,21.0,28.0,21.0,27.780000686645508,21.0,21.0,28.0,27.81999969482422,28.0,21.0,21.0,21.0
80000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,27.93000030517578,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
84000,28.0,21.0,28.0,28.0,21.0,27.81999969482422,28.0,28.0,21.0,28.0,21.0,28.0,21.0,20.88999938964844,28.0,28.0,28.0,21.0,21.0,21.0
88000,27.729999542236328,21.0,28.0,28.0,21.0,28.0,27.709999084472656,28.0,21.0,28.0,20.940000534057617,28.0,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
92000,28.0,21.0,28.0,28.0,21.0,28.0,27.780000686645508,28.0,21.0,28.0,21.0,28.0,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
96000,27.93000030517578,21.0,28.0,28.0,21.0,28.0,28.0,28.0,20.81999969482422,28.0,21.0,28.0,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
100000,28.0,21.0,28.0,27.780000686645508,21.0,28.0,28.0,28.0,21.0,28.0,21.0,28.0,21.0,21.0,28.0,28.0,28.0,21.0,20.850000381469727,21.0
104000,28.0,20.850000381469727,28.0,28.0,21.0,28.0,28.0,27.86000061035156,21.0,28.0,20.88999938964844,28.0,21.0,21.0,28.0,28.0,28.0,21.0,20.850000381469727,21.0
108000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,28.0,21.0,20.850000381469727,28.0,28.0,28.0,21.0,21.0,21.0
112000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,20.88999938964844,28.0,21.0,28.0,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
116000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,28.0,21.0,20.850000381469727,28.0,28.0,28.0,21.0,20.700000762939453,21.0
120000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,28.0,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
124000,27.93000030517578,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,27.729999542236328,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
128000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,28.0,21.0,20.88999938964844,28.0,28.0,28.0,21.0,21.0,21.0
132000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,28.0,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
136000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,28.0,21.0,28.0,21.0,21.0,28.0,28.0,28.0,20.88999938964844,21.0,21.0
140000,28.0,21.0,28.0,28.0,21.0,28.0,28.0,28.0,21.0,27.799999237060547,21.0,28.0,21.0,21.0,27.93000030517578,28.0,28.0,21.0,21.0,21.0
144000,28.0,21.0,28.0,27.93000030517578,21.0,28.0,28.0,28.0,21.0,28.0,21.0,28.0,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
148000,28.0,21.0,28.0,27.780000686645508,21.0,28.0,28.0,28.0,21.0,28.0,21.0,28.0,21.0,21.0,28.0,28.0,28.0,21.0,21.0,21.0
