Step,PPO_1,PPO_2,PPO_3,PPO_4,PPO_5,PPO_6,PPO_7,PPO_8,PPO_9,PPO_10,PPO_11,PPO_12,PPO_13,PPO_14,PPO_15,PPO_16,PPO_17,PPO_18,PPO_19,PPO_20
16384,2.220000028610229,2.0799999237060547,2.240000009536743,2.3499999046325684,2.2100000381469727,2.299999952316284,2.259999990463257,2.2100000381469727,1.9299999475479128,2.140000104904175,1.8200000524520876,1.8600000143051147,1.8600000143051147,2.2699999809265137,2.509999990463257,2.039999961853028,2.4600000381469727,2.190000057220459,2.309999942779541,2.7300000190734863
32768,4.309999942779541,5.130000114440918,8.569999694824219,6.21999979019165,4.860000133514404,5.159999847412109,5.75,7.920000076293945,6.5,5.119999885559082,4.820000171661377,4.699999809265137,4.480000019073486,6.079999923706055,3.740000009536743,7.269999980926514,5.369999885559082,5.380000114440918,7.610000133514404,6.179999828338623
49152,10.890000343322754,9.619999885559082,13.1899995803833,14.5,11.890000343322754,18.030000686645508,12.140000343322754,17.010000228881836,14.850000381469728,12.239999771118164,11.979999542236328,17.25,13.130000114440918,12.039999961853027,16.290000915527344,16.399999618530273,10.630000114440918,13.710000038146973,20.0,13.529999732971191
65536,26.34000015258789,23.88999938964844,27.21999931335449,28.979999542236328,20.040000915527344,31.43000030517578,25.8799991607666,33.130001068115234,33.40999984741211,22.0,30.059999465942383,30.790000915527344,20.96999931335449,28.770000457763672,30.63999938964844,27.84000015258789,18.93000030517578,18.020000457763672,31.11000061035156,31.049999237060547
81920,41.18999862670898,43.08000183105469,44.040000915527344,40.720001220703125,39.5099983215332,53.61000061035156,46.060001373291016,44.27000045776367,44.45000076293945,36.41999816894531,40.86000061035156,51.900001525878906,34.150001525878906,60.36000061035156,54.869998931884766,36.88999938964844,41.09999847412109,38.20000076293945,51.86000061035156,47.150001525878906
98304,72.12000274658203,64.87000274658203,65.37000274658203,64.68000030517578,60.02999877929688,85.37999725341797,76.18000030517578,56.52999877929688,60.470001220703125,58.15999984741211,74.58000183105469,92.08999633789062,57.459999084472656,89.25,73.48999786376953,58.70000076293945,57.47999954223633,52.52000045776367,93.76000213623048,72.81999969482422
114688,85.9000015258789,97.80999755859376,92.54000091552734,107.4000015258789,91.27999877929688,130.92999267578125,101.38999938964844,93.2699966430664,89.27999877929688,72.0199966430664,94.02999877929688,105.58000183105467,81.72000122070312,102.36000061035156,95.25,86.0199966430664,81.45999908447266,80.77999877929688,122.87999725341795,92.66999816894533
131072,126.69000244140624,121.26000213623048,127.37000274658205,154.38999938964844,119.58000183105467,172.25,119.20999908447266,113.2300033569336,114.4499969482422,95.51000213623048,154.75,133.58999633789062,127.56999969482422,137.9199981689453,118.52999877929688,114.37000274658205,107.63999938964844,102.7300033569336,147.82000732421875,126.75
147456,145.25999450683594,154.27999877929688,160.1300048828125,177.07000732421875,129.58999633789062,193.3600006103516,146.0399932861328,142.00999450683594,132.5500030517578,105.94000244140624,185.1300048828125,136.02999877929688,168.69000244140625,158.75999450683594,165.4199981689453,134.69000244140625,154.0800018310547,127.7699966430664,186.4600067138672,144.2899932861328
163840,177.74000549316406,180.3600006103516,183.2700042724609,197.77999877929688,155.55999755859375,202.50999450683597,165.25,173.9600067138672,151.7100067138672,150.63999938964844,206.7700042724609,144.80999755859375,195.1999969482422,177.1999969482422,191.4900054931641,147.94000244140625,171.88999938964844,170.24000549316406,209.13999938964844,160.0399932861328
