Step,PPO_1,PPO_2,PPO_3,PPO_4,PPO_5,PPO_6,PPO_7,PPO_8,PPO_9,PPO_10,PPO_11,PPO_12,PPO_13,PPO_14,PPO_15,PPO_16,PPO_17,PPO_18,PPO_19,PPO_20
16384,2.789999961853028,1.9299999475479128,2.4200000762939453,2.4600000381469727,2.299999952316284,2.0299999713897705,1.899999976158142,2.430000066757202,2.390000104904175,2.8499999046325684,2.119999885559082,2.359999895095825,2.119999885559082,2.4800000190734863,2.359999895095825,2.0299999713897705,3.069999933242798,2.539999961853028,2.0899999141693115,2.109999895095825
32768,5.090000152587891,3.910000085830689,4.989999771118164,4.619999885559082,3.5299999713897705,5.769999980926514,3.509999990463257,3.539999961853028,4.440000057220459,3.7699999809265137,4.489999771118164,3.359999895095825,5.039999961853027,3.200000047683716,3.4600000381469727,4.800000190734863,3.440000057220459,4.260000228881836,5.090000152587891,3.4800000190734863
49152,8.15999984741211,6.309999942779541,4.940000057220459,6.949999809265137,6.920000076293945,7.070000171661377,6.320000171661377,7.5,6.989999771118164,5.570000171661377,7.610000133514404,6.539999961853027,7.239999771118164,6.260000228881836,7.559999942779541,8.109999656677246,8.75,8.180000305175781,9.739999771118164,5.929999828338623
65536,12.640000343322754,11.470000267028809,11.449999809265137,12.34000015258789,12.039999961853027,14.489999771118164,11.9399995803833,14.979999542236328,7.099999904632568,15.4399995803833,15.670000076293944,13.75,12.210000038146973,15.06999969482422,16.65999984741211,15.539999961853027,15.770000457763672,12.770000457763672,19.90999984741211,14.829999923706056
81920,34.38999938964844,30.540000915527344,43.040000915527344,34.84000015258789,38.61000061035156,38.5099983215332,27.90999984741211,39.9900016784668,39.470001220703125,33.779998779296875,37.15999984741211,32.20000076293945,34.45000076293945,31.280000686645508,34.4900016784668,42.310001373291016,41.61000061035156,32.27000045776367,38.95000076293945,38.38999938964844
98304,71.5199966430664,90.2300033569336,89.19999694824219,83.45999908447266,92.44000244140624,89.33000183105469,84.87000274658203,79.41999816894531,76.04000091552734,70.80999755859375,79.4000015258789,76.4800033569336,87.54000091552734,92.7300033569336,83.66000366210938,96.68000030517578,81.37999725341797,89.38999938964844,90.33000183105467,77.38999938964844
114688,100.94000244140624,113.55999755859376,102.4000015258789,100.58000183105467,111.87999725341795,113.51000213623048,104.91000366210938,106.5500030517578,106.20999908447266,95.61000061035156,104.86000061035156,106.4000015258789,108.20999908447266,116.1500015258789,106.58999633789062,124.72000122070312,102.05999755859376,101.33999633789062,100.70999908447266,110.2699966430664
131072,121.2699966430664,120.51000213623048,125.55999755859376,124.62999725341795,149.14999389648438,123.23999786376952,141.57000732421875,126.83000183105467,120.16000366210938,119.63999938964844,123.77999877929688,122.22000122070312,127.33999633789062,133.63999938964844,118.6500015258789,147.24000549316406,120.05999755859376,132.1300048828125,130.89999389648438,168.9499969482422
147456,132.72999572753906,137.22999572753906,153.4199981689453,151.00999450683594,182.97000122070312,147.63999938964844,164.6699981689453,149.82000732421875,179.77999877929688,138.72999572753906,176.89999389648438,146.9499969482422,148.88999938964844,164.3300018310547,141.72999572753906,180.47999572753903,151.86000061035156,175.60000610351562,158.6699981689453,195.44000244140625
163840,153.27999877929688,148.6300048828125,171.35000610351562,189.5800018310547,209.1699981689453,164.8300018310547,187.67999267578125,162.38999938964844,179.61000061035156,155.3800048828125,203.5800018310547,161.75999450683594,168.9600067138672,190.02999877929688,168.27000427246094,198.4600067138672,174.33999633789062,193.5500030517578,179.1199951171875,199.05999755859372
